Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=139.AME.A.IRL.1.0.0.0.ZUTN&periodSortOrder=ASC
,AME.A.IRL.1.0.0.0.ZUTN
,Ireland - Unemployment rate: total :- Member States: definition EUROSTAT - Percentage of active population - AMECO data class: Other data
Collection:,Unknown (U)
Period\Unit:,[Percentage of active population]
1960,5.7
1961,5.2
1962,5.1
1963,5.3
1964,5.2
1965,5
1966,5.1
1967,5.5
1968,5.8
1969,5.5
1970,6.3
1971,6
1972,6.7
1973,6.2
1974,5.8
1975,7.9
1976,9.8
1977,9.7
1978,9
1979,7.8
1980,8
1981,10.8
1982,12.5
1983,13.9
1984,15.5
1985,16.8
1986,16.8
1987,16.6
1988,16.2
1989,14.7
1990,13.4
1991,14.7
1992,15.4
1993,15.6
1994,14.3
1995,12.3
1996,11.7
1997,9.9
1998,7.5
1999,5.8
2000,4.5
2001,4.2
2002,4.7
2003,4.8
2004,4.7
2005,4.6
2006,4.8
2007,5
2008,6.8
2009,12.6
2010,14.6
2011,15.4
2012,15.5
2013,13.8
2014,11.9
2015,10
2016,8.4
2017,6.7
2018,5.6
2019,5.1
2020,4.9
